OID_,OID1,station_id,carrier_id,carrier_icon,open_time,is_public,auth,is_auth,elect_index,is_online,hasFast,hasSlow,is_network,is_ground,rate
86,,232,1,,00:00-24:00,1,1,1,4,1,1,1,0,2,0.642857143
87,,234,1,,06:00-22:00,1,1,1,4,1,1,1,0,2,1
88,,236,1,,06:00-22:00,1,1,1,4,1,1,1,0,1,1
89,,238,1,,06:00-22:00,1,1,1,4,1,1,1,0,1,0
90,,240,1,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.833333333
91,,242,1,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.291666667
92,,244,1,,08:30-18:00,1,1,1,4,1,1,1,0,1,1
93,,248,1,,00:00-24:00,1,1,1,4,1,1,1,0,1,1
94,,250,1,,00:00-24:00,1,1,1,4,1,1,1,0,1,0
95,,252,1,,00:00-24:00,1,1,1,4,1,0,1,0,1,0
96,,254,1,,00:00-24:00,1,1,1,4,2,1,1,0,1,0
97,,256,1,,00:00-24:00,1,1,1,4,2,1,1,0,1,0
98,,258,1,,00:00-24:00,1,1,1,4,1,1,1,0,1,0.928571429
99,,260,1,,09:00-17:00,1,1,1,4,1,0,1,0,1,0.5
100,,262,1,,00:00-24:00,1,1,1,4,1,0,1,0,1,0
101,,264,1,,09:00-17:30,1,1,1,4,1,1,1,0,1,0.333333333
102,,266,1,,09:00-17:30,1,1,1,4,1,1,1,0,1,0.333333333
103,,268,1,,08:00-20:00,1,1,1,4,2,1,1,0,1,0
104,,270,1,,00:00-24:00,1,1,1,4,1,1,1,0,1,0
105,,272,1,,00:00-24:00,1,1,1,4,1,1,1,0,2,0
106,,274,1,,00:00-24:00,1,1,1,4,1,1,1,0,1,0.75
107,,276,1,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.833333333
108,,286,1,,00:00-24:00,1,1,1,4,1,1,1,0,1,1
109,,288,1,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.416666667
110,,290,1,,08:30-18:00,1,1,1,4,1,1,1,0,1,0.9
111,,292,1,,07:00-22:00,1,1,1,4,1,1,1,0,1,1
112,,294,1,,09:00-24:00,1,1,1,4,1,1,1,0,1,1
113,,296,1,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.777777778
114,,300,1,,00:00-24:00,1,1,1,4,1,0,1,0,2,1
115,,302,1,,00:00-24:00,1,1,1,4,1,0,1,0,2,0.8
116,,304,1,,00:00-24:00,1,1,1,4,1,1,1,0,1,0
117,,306,1,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.833333333
118,,310,1,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.153846154
119,,312,1,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.318181818
124,,324,1,,00:00-24:00,1,1,1,4,1,1,1,0,1,0.592592593
125,,326,1,,08:00-18:00,1,1,1,4,1,1,1,0,2,0.125
126,,328,1,,00:00-24:00,1,1,1,4,1,1,1,0,1,0
127,,330,1,,00:00-24:00,1,1,1,4,1,1,1,0,1,0
128,,332,1,,00:00-24:00,1,1,1,4,1,1,1,0,1,0.428571429
129,,334,1,,00:00-24:00,1,1,1,4,2,1,1,0,2,0
130,,336,1,,00:00-24:00,1,1,1,4,1,1,1,0,1,1
131,,338,1,,00:00-24:00,1,1,1,4,1,1,1,0,1,0.75
132,,340,1,,00:00-24:00,1,1,1,4,1,1,1,0,1,0.888888889
133,,342,1,,00:00-24:00,1,1,1,4,1,1,1,0,1,1
134,,344,1,,00:00-24:00,1,1,1,4,2,1,1,0,1,0
135,,346,1,,09:00-17:00,1,1,1,4,1,1,1,0,2,1
136,,348,1,,00:00-24:00,1,1,1,4,1,1,1,0,1,1
137,,350,1,,10:00-19:00,1,1,1,4,1,1,1,0,1,0
138,,352,1,,00:00-24:00,1,1,1,4,1,1,1,0,1,1
139,,354,1,,08:00-19:00,1,1,1,4,1,1,1,0,1,0.75
140,,356,1,,08:00-20:00,1,1,1,4,1,1,1,0,1,0.875
141,,358,1,,00:00-24:00,1,1,1,4,1,1,1,0,1,0
142,,360,1,,09:00-19:00,1,1,1,4,1,1,1,0,1,1
143,,362,1,,00:00-24:00,1,1,1,4,1,1,1,0,1,0.875
144,,364,1,,06:00-24:00,1,1,1,4,1,1,0,0,1,0.6
145,,366,1,,00:00-24:00,1,1,1,4,2,1,1,0,1,0
146,,368,1,,00:00-24:00,1,1,1,4,1,1,1,0,2,1
147,,370,1,,00:00-24:00,1,1,1,4,2,1,1,0,1,0
148,,372,1,,00:00-24:00,1,1,1,4,1,1,1,0,1,0.875
149,,374,1,,00:00-24:00,1,1,1,4,1,1,1,0,1,0
150,,376,1,,00:00-24:00,1,1,1,4,2,1,1,0,2,0
151,,378,1,,00:00-24:00,1,1,1,4,2,1,1,0,1,0
152,,380,1,,00:00-24:00,1,1,1,4,1,1,1,0,1,0
153,,382,1,,00:00-24:00,1,1,1,4,1,1,1,0,1,0
154,,384,1,,00:00-24:00,1,1,1,4,1,1,1,0,1,1
155,,386,1,,00:00-24:00,1,1,1,4,1,1,1,0,1,0.705882353
156,,388,1,,00:00-24:00,1,1,1,4,1,1,0,0,1,1
172,,424,137,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.4
173,,426,25,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.625
174,,428,25,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.5
175,,430,25,,00:00-24:00,1,1,1,4,1,1,1,0,1,0.5
176,,432,25,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.9
177,,434,25,,00:00-24:00,1,1,1,4,1,1,0,0,1,0
178,,436,25,,00:00-24:00,1,1,1,4,1,1,0,0,1,0
179,,438,25,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.666666667
180,,440,25,,00:00-24:00,1,1,1,4,1,1,0,0,1,1
181,,442,25,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.666666667
