Community,average_occupied_rate,community_center_x,community_center_y,spatial_dispersion,modularity_contribution,average_edge_weight
0,0.5829535534265399,401616.84565352113,3380445.736414084,3787.76055340922,0.1732656979180815,1.0000000000000004
7,0.7335892348392348,395689.6102633334,3387287.5085300007,3400.806090180447,0.08866063285893883,1.0
17,0.0,405062.9321999997,3384990.725299999,0.0,0.0,0.0
3,0.0,406139.1328999996,3375959.1446,0.0,0.0,0.0
6,0.5748262726756757,410471.6097607143,3376107.9351374996,6065.809933742342,0.09743244995547051,0.9999999999999998
10,0.0,397127.3543999996,3384817.4122,0.0,0.0,0.0
28,0.5661494650696978,416353.4811943182,3390776.1843147725,3997.308615064705,0.19281825932944174,1.0000000000000018
36,0.0,412210.2526000002,3394381.1643,0.0,0.0,0.0
40,0.0,411261.6381999999,3394193.7849000003,0.0,0.0,0.0
37,0.0,411785.3256000001,3394559.1842,0.0,0.0,0.0
32,0.6459220969089389,409543.70577368425,3394568.9044368416,2283.2911172885088,0.09020097202556822,1.0000000000000002
22,0.5845639302860007,402901.3126051282,3391971.6291653845,3145.088929668973,0.18902329561963596,0.9999999999999996
70,0.0,400610.80530000007,3397536.7332000006,0.0,0.0,0.0
64,0.0,405971.6754999999,3396327.085000001,0.0,0.0,0.0
71,0.6351374745783276,405037.2317583334,3402965.84136,3935.4242444607958,0.15520188037089228,0.9999999999999998
83,0.6090353944161416,412302.79583888897,3399383.0491916668,2808.885022799319,0.08269512611438737,1.0000000000000002
74,0.0,403120.0772000002,3399927.696900001,0.0,0.0,0.0
85,0.0,407157.14680000016,3398754.8741,0.0,0.0,0.0
78,0.0,406487.9340000004,3398198.1520000007,0.0,0.0,0.0
82,0.0,403467.4417000003,3399944.9976000004,0.0,0.0,0.0
18,0.5927631030884037,408919.0589717392,3386820.9469608683,2324.3022888243017,0.10642017319914149,0.9999999999999992
113,0.0,410681.14759999973,3380616.4843000006,0.0,0.0,0.0
116,0.0,408550.36510000005,3388736.4057,0.0,0.0,0.0
141,0.0,402313.0948999999,3387722.3147,0.0,0.0,0.0
134,0.0,401903.0250000004,3389882.8201,0.0,0.0,0.0
135,0.0,402023.8508000001,3390812.1196,0.0,0.0,0.0
109,0.0,410173.5800000001,3387386.9202999994,0.0,0.0,0.0
124,0.0,406713.18790000025,3391060.0892,0.0,0.0,0.0
104,0.0,409855.2681,3385298.1131999996,0.0,0.0,0.0
144,0.0,400132.81460000016,3388643.5863000005,0.0,0.0,0.0
20,0.0,406436.9161,3385967.9298,0.0,0.0,0.0
31,0.0,417252.5162000004,3389523.8662,0.0,0.0,0.0
163,0.0,418670.52350000007,3391908.1783000007,0.0,0.0,0.0
164,0.0,418710.02859999985,3392024.5759999994,0.0,0.0,0.0
158,0.0,419545.06740000006,3396880.443600001,0.0,0.0,0.0
167,0.0,428815.0697999997,3384377.2300000004,0.0,0.0,0.0
53,0.5477118126694398,426256.30222881364,3381526.0066406783,4629.722581176906,0.11647931109988233,0.9999999999999998
189,0.0,432646.64070000034,3415603.4365,0.0,0.0,0.0
255,0.4858333406507849,428119.5395882353,3405906.404364706,10214.333356883473,0.03185750881055824,0.9999999999999997
