Community,Modularity Contribution,Member Count,Average Position,Average Weight
2,0.046544648625832484,56,[ 410471.60976071 3376107.9351375 ],0.29325730565078173
7,0.056211375592172,47,[ 397200.89707872 3389662.28381064],0.46516256552579727
12,0.07708573486576709,70,[ 401665.37852857 3380428.31937571],0.3183132994676998
19,0.05001141184684386,45,[ 408963.66218 3386751.70932],0.3444326138327212
23,0.07081645835717465,60,[ 403733.63914333 3390986.21658   ],0.3690889471842729
58,0.043909514550867466,38,[ 409543.70577368 3394568.90443684],0.42568050240929706
84,0.05877831771467976,53,[ 411396.57079811 3401362.05933585],0.40172275214084185
154,0.08654278308418806,88,[ 416353.48119432 3390776.18431477],0.3205738652779393
167,0.059350225223108316,43,[ 417397.23130233 3409752.6160907 ],0.3772807445609278
171,0.054558924933611114,59,[ 426256.30222881 3381526.00664068],0.2971387789730445
192,0.01572713292985075,34,[ 428119.53958824 3405906.40436471],0.24588010312738642
197,0.05710804011543246,46,[ 403277.78135217 3401614.44944565],0.3901375948289948
208,0.040091478740336715,40,[ 390221.9295175 3397595.7898725],0.33141063345583005
238,0.04692400605964044,47,[ 396169.57965745 3410363.42621915],0.3336323146776868
