station_id,Community
44.0,0
2847.0,0
2017.0,0
2895.0,0
1825.0,0
1042.0,0
1098.0,0
436.0,0
1767.0,0
328.0,0
430.0,0
1646.0,0
324.0,0
1765.0,0
1168.0,0
52.0,1
1977.0,82
438.0,3
1040.0,4
1038.0,3
216.0,6
724.0,3
174.0,3
1258.0,3
2783.0,3
60.0,3
2845.0,3
1396.0,3
2757.0,3
68.0,7
2311.0,7
78.0,7
1228.0,7
1757.0,7
218.0,7
90.0,7
1580.0,7
2459.0,7
192.0,8
232.0,7
2793.0,7
554.0,7
1702.0,9
2755.0,7
70.0,91
2889.0,91
80.0,91
2595.0,91
2917.0,12
748.0,91
1068.0,91
1937.0,91
136.0,91
2827.0,13
72.0,14
84.0,15
2465.0,16
798.0,38
76.0,18
964.0,80
546.0,20
1686.0,21
2313.0,38
3049.0,22
220.0,80
98.0,38
108.0,38
94.0,38
2677.0,38
830.0,38
2179.0,80
74.0,7
1372.0,7
840.0,7
2745.0,7
228.0,24
778.0,7
1314.0,7
236.0,25
762.0,26
1200.0,7
512.0,7
912.0,27
910.0,28
738.0,29
1238.0,29
2545.0,38
92.0,38
682.0,38
1885.0,38
2987.0,38
788.0,38
2447.0,30
1386.0,91
544.0,91
2687.0,91
82.0,7
88.0,7
932.0,7
2791.0,7
466.0,7
660.0,7
770.0,7
2901.0,7
796.0,32
526.0,7
2935.0,33
102.0,38
714.0,34
1422.0,38
686.0,35
784.0,38
684.0,36
96.0,37
2833.0,37
454.0,38
1364.0,48
674.0,37
716.0,40
1016.0,41
706.0,42
538.0,37
2581.0,48
152.0,37
2655.0,43
2691.0,37
588.0,38
1278.0,44
1048.0,37
676.0,38
100.0,45
1855.0,48
444.0,48
2763.0,48
2765.0,48
1527.0,48
2097.0,48
118.0,47
1939.0,48
2407.0,48
120.0,48
3053.0,48
2685.0,38
2185.0,38
1477.0,38
104.0,49
930.0,38
1062.0,38
1008.0,50
1010.0,48
1457.0,51
114.0,38
1654.0,38
1749.0,38
2487.0,38
106.0,48
1521.0,48
752.0,48
2155.0,48
664.0,48
1692.0,52
1688.0,53
112.0,48
2321.0,48
1064.0,48
516.0,48
1698.0,48
128.0,54
1941.0,48
1116.0,48
464.0,48
2689.0,48
2167.0,55
2337.0,38
