Point_ID,Neighbor_ID,rate,cgcs_x,cgcs_y,rate_neighbor,cgcs_x_neighbor,cgcs_y_neighbor
40.0,358.0,0.25,403775.8477999996,3376152.7792000007,0.0,403302.9647000004,3375507.6632000003
46.0,358.0,0.0,403299.57120000006,3374017.4922,0.0,403302.9647000004,3375507.6632000003
548.0,358.0,0.6,402887.65500000026,3375094.8082,0.0,403302.9647000004,3375507.6632000003
1104.0,358.0,0.9375,401917.58339999994,3375777.6656,0.0,403302.9647000004,3375507.6632000003
2051.0,358.0,0.875,402077.27859999985,3376436.569700001,0.0,403302.9647000004,3375507.6632000003
40.0,548.0,0.25,403775.8477999996,3376152.7792000007,0.6,402887.65500000026,3375094.8082
46.0,548.0,0.0,403299.57120000006,3374017.4922,0.6,402887.65500000026,3375094.8082
358.0,548.0,0.0,403302.9647000004,3375507.6632000003,0.6,402887.65500000026,3375094.8082
1104.0,548.0,0.9375,401917.58339999994,3375777.6656,0.6,402887.65500000026,3375094.8082
2051.0,548.0,0.875,402077.27859999985,3376436.569700001,0.6,402887.65500000026,3375094.8082
40.0,342.0,0.25,403775.8477999996,3376152.7792000007,1.0,402544.60539999977,3377208.4181999993
1104.0,342.0,0.9375,401917.58339999994,3375777.6656,1.0,402544.60539999977,3377208.4181999993
1126.0,342.0,1.0,402246.67760000005,3378318.6512,1.0,402544.60539999977,3377208.4181999993
1128.0,342.0,0.8125,402350.75090000033,3378490.8587,1.0,402544.60539999977,3377208.4181999993
1449.0,342.0,0.0,400447.9551999997,3377144.1119,1.0,402544.60539999977,3377208.4181999993
2051.0,342.0,0.875,402077.27859999985,3376436.569700001,1.0,402544.60539999977,3377208.4181999993
2539.0,342.0,0.882352941176471,402914.7696000002,3378874.0803999994,1.0,402544.60539999977,3377208.4181999993
40.0,2051.0,0.25,403775.8477999996,3376152.7792000007,0.875,402077.27859999985,3376436.569700001
342.0,2051.0,1.0,402544.60539999977,3377208.4181999993,0.875,402077.27859999985,3376436.569700001
358.0,2051.0,0.0,403302.9647000004,3375507.6632000003,0.875,402077.27859999985,3376436.569700001
548.0,2051.0,0.6,402887.65500000026,3375094.8082,0.875,402077.27859999985,3376436.569700001
1104.0,2051.0,0.9375,401917.58339999994,3375777.6656,0.875,402077.27859999985,3376436.569700001
1449.0,2051.0,0.0,400447.9551999997,3377144.1119,0.875,402077.27859999985,3376436.569700001
40.0,1104.0,0.25,403775.8477999996,3376152.7792000007,0.9375,401917.58339999994,3375777.6656
46.0,1104.0,0.0,403299.57120000006,3374017.4922,0.9375,401917.58339999994,3375777.6656
342.0,1104.0,1.0,402544.60539999977,3377208.4181999993,0.9375,401917.58339999994,3375777.6656
358.0,1104.0,0.0,403302.9647000004,3375507.6632000003,0.9375,401917.58339999994,3375777.6656
548.0,1104.0,0.6,402887.65500000026,3375094.8082,0.9375,401917.58339999994,3375777.6656
1449.0,1104.0,0.0,400447.9551999997,3377144.1119,0.9375,401917.58339999994,3375777.6656
2051.0,1104.0,0.875,402077.27859999985,3376436.569700001,0.9375,401917.58339999994,3375777.6656
42.0,334.0,0.166666666666667,395581.7061999999,3387155.5009000003,0.0,395526.6528000002,3387140.1522000004
326.0,334.0,0.125,395282.0047000004,3387773.2156000007,0.0,395526.6528000002,3387140.1522000004
1795.0,334.0,0.142857142857143,396777.4232000001,3386869.6653000005,0.0,395526.6528000002,3387140.1522000004
1931.0,334.0,0.0,396296.2004000004,3388725.9229000006,0.0,395526.6528000002,3387140.1522000004
2379.0,334.0,0.966666666666667,394462.5856999997,3386611.9111,0.0,395526.6528000002,3387140.1522000004
42.0,326.0,0.166666666666667,395581.7061999999,3387155.5009000003,0.125,395282.0047000004,3387773.2156000007
334.0,326.0,0.0,395526.6528000002,3387140.1522000004,0.125,395282.0047000004,3387773.2156000007
1931.0,326.0,0.0,396296.2004000004,3388725.9229000006,0.125,395282.0047000004,3387773.2156000007
2379.0,326.0,0.966666666666667,394462.5856999997,3386611.9111,0.125,395282.0047000004,3387773.2156000007
2715.0,326.0,0.4,395811.5554999998,3389195.0842000004,0.125,395282.0047000004,3387773.2156000007
42.0,1795.0,0.166666666666667,395581.7061999999,3387155.5009000003,0.142857142857143,396777.4232000001,3386869.6653000005
334.0,1795.0,0.0,395526.6528000002,3387140.1522000004,0.142857142857143,396777.4232000001,3386869.6653000005
2511.0,1795.0,0.0,396298.5488,3385327.7477,0.142857142857143,396777.4232000001,3386869.6653000005
2593.0,1795.0,0.423076923076923,397241.74189999973,3386823.012599999,0.142857142857143,396777.4232000001,3386869.6653000005
2997.0,1795.0,1.0,396775.3454,3385419.5068999995,0.142857142857143,396777.4232000001,3386869.6653000005
42.0,2379.0,0.166666666666667,395581.7061999999,3387155.5009000003,0.966666666666667,394462.5856999997,3386611.9111
50.0,2379.0,0.25,393840.7324999999,3385139.784600001,0.966666666666667,394462.5856999997,3386611.9111
326.0,2379.0,0.125,395282.0047000004,3387773.2156000007,0.966666666666667,394462.5856999997,3386611.9111
334.0,2379.0,0.0,395526.6528000002,3387140.1522000004,0.966666666666667,394462.5856999997,3386611.9111
42.0,2593.0,0.166666666666667,395581.7061999999,3387155.5009000003,0.423076923076923,397241.74189999973,3386823.012599999
334.0,2593.0,0.0,395526.6528000002,3387140.1522000004,0.423076923076923,397241.74189999973,3386823.012599999
1795.0,2593.0,0.142857142857143,396777.4232000001,3386869.6653000005,0.423076923076923,397241.74189999973,3386823.012599999
2881.0,2593.0,0.269230769230769,398356.97489999974,3385776.8825,0.423076923076923,397241.74189999973,3386823.012599999
