OID_,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,NEAR_ANGLE,station_id,rate,station_id_1,rate_1,value_,wgs_X,wgs_Y,wgs_X_1,wgs_Y_1,ORIG_FID,Shape_Length
1,1,141,799.870895373202870,1,-126.242230289254877,40.000000000000000,0.250000000000000,358.000000000000000,0.000000000000000,0.000312550439635,103.997661899999997,30.501658060000000,103.992796600000005,30.495801849999999,1,0.007613562875126
2,2,129,57.151583482721279,1,-164.421017729002386,42.000000000000000,0.166666667000000,334.000000000000000,0.000000000000000,0.002916221333577,103.911211300000005,30.600203100000002,103.910638899999995,30.600059869999999,2,0.000590047958143
3,2,125,686.577939168375224,2,115.881218362134959,42.000000000000000,0.166666667000000,326.000000000000000,0.125000000000000,0.000212406087212,103.911211300000005,30.600203100000002,103.908024299999994,30.605747789999999,3,0.006395354266664
4,3,999,265.855976688698945,1,-19.789165877286305,44.000000000000000,0.297297297000000,2847.000000000000000,0.306122449000000,0.000775938622598,103.976376599999995,30.567213320000000,103.978992300000002,30.566422029999998,4,0.002732768990287
5,3,732,510.274078260847432,2,139.075716809822694,44.000000000000000,0.297297297000000,2017.000000000000000,0.500000000000000,0.000291311385063,103.976376599999995,30.567213320000000,103.972326499999994,30.570196280000001,5,0.005030045762352
6,3,1020,595.773829349449215,3,146.709713831071923,44.000000000000000,0.297297297000000,2895.000000000000000,0.071428571000000,0.000463366738036,103.976376599999995,30.567213320000000,103.971155100000004,30.570121619999998,6,0.005976811117984
7,3,678,599.230698761383564,4,146.582848339093374,44.000000000000000,0.297297297000000,1825.000000000000000,0.000000000000000,0.000496131619449,103.976376599999995,30.567213320000000,103.971132299999994,30.570148549999999,7,0.006009846723704
8,3,176,1191.913200711480613,9,113.979639174197899,44.000000000000000,0.297297297000000,436.000000000000000,0.000000000000000,0.000249428647004,103.976376599999995,30.567213320000000,103.971224300000003,30.576995300000000,8,0.011055918237511
9,3,659,1599.806482147778070,12,159.493329225271253,44.000000000000000,0.297297297000000,1767.000000000000000,0.000000000000000,0.000185833286912,103.976376599999995,30.567213320000000,103.960705700000005,30.572144030000000,9,0.016428299006201
10,5,6,1053.629624955655117,2,40.089213536700747,48.000000000000000,0.900000000000000,50.000000000000000,0.250000000000000,0.000640642578770,103.884935200000001,30.575680299999998,103.893267300000005,30.581871209999999,10,0.010380330298655
11,5,688,2319.059297835331108,4,-35.773373677252891,48.000000000000000,0.900000000000000,1863.000000000000000,0.000000000000000,0.000388088394652,103.884935200000001,30.575680299999998,103.904683700000007,30.563620570000001,11,0.023139583874092
12,5,598,2422.926533745247070,5,-61.246316883758297,48.000000000000000,0.900000000000000,1610.000000000000000,0.375000000000000,0.000232157266085,103.884935200000001,30.575680299999998,103.897300200000004,30.556626890000000,12,0.022713996990409
13,5,360,3065.979071345909688,7,6.382631942362943,48.000000000000000,0.900000000000000,894.000000000000000,0.000000000000000,0.000293544078109,103.884935200000001,30.575680299999998,103.916659499999994,30.579022370000001,13,0.031899853405179
14,5,868,3376.948027045214531,9,14.867606502908803,48.000000000000000,0.900000000000000,2511.000000000000000,0.000000000000000,0.000266512837270,103.884935200000001,30.575680299999998,103.918867899999995,30.583781710000000,14,0.034886401089495
15,5,129,3658.747616200862922,11,47.069941378208995,48.000000000000000,0.900000000000000,334.000000000000000,0.000000000000000,0.000245985811105,103.884935200000001,30.575680299999998,103.910638899999995,30.600059869999999,15,0.035426595087353
16,5,2,3707.602258244135555,12,46.608585871745348,48.000000000000000,0.900000000000000,42.000000000000000,0.166666667000000,0.000202287070581,103.884935200000001,30.575680299999998,103.911211300000005,30.600203100000002,16,0.035941635524812
17,5,474,3888.245941412045795,15,-37.915145785676451,48.000000000000000,0.900000000000000,1170.000000000000000,0.000000000000000,0.000231466839691,103.884935200000001,30.575680299999998,103.917147200000002,30.554402100000001,17,0.038605372107662
18,5,882,3908.845868175455962,16,-38.446889817269792,48.000000000000000,0.900000000000000,2549.000000000000000,0.200000000000000,0.000184197592917,103.884935200000001,30.575680299999998,103.917086999999995,30.554030229999999,18,0.038761627815923
19,5,125,4002.444221001516780,17,55.840834947244538,48.000000000000000,0.900000000000000,326.000000000000000,0.125000000000000,0.000196754771964,103.884935200000001,30.575680299999998,103.908024299999994,30.605747789999999,19,0.037909899883045
20,5,790,4078.949369860024490,18,12.703629479631752,48.000000000000000,0.900000000000000,2221.000000000000000,0.150000000000000,0.000187548295071,103.884935200000001,30.575680299999998,103.926320099999998,30.584118629999999,20,0.042236422405748
21,7,468,1063.633173880315098,1,-123.621493063887087,52.000000000000000,1.000000000000000,1142.000000000000000,0.500000000000000,0.000470086879837,104.010259199999993,30.581469049999999,104.004201800000004,30.573434219999999,21,0.010062335114082
22,7,723,1081.882993341111160,2,161.417005719504658,52.000000000000000,1.000000000000000,1977.000000000000000,0.000000000000000,0.000924314372400,104.010259199999993,30.581469049999999,103.999537799999999,30.584496760000000,22,0.011140711192350
23,7,825,1135.564467677597122,3,-138.062408362640269,52.000000000000000,1.000000000000000,2401.000000000000000,0.500000000000000,0.000440309655886,104.010259199999993,30.581469049999999,104.001524099999997,30.574557209999998,23,0.011138918452478
