OID_,station_id,title,carrier_id,carrier_icon,open_time,is_public,auth,geo_longitude,geo_latitude,is_auth,city,op_state,elect_index,is_online,hasFast,hasSlow,is_network,province,is_ground,GD_X,GD_Y,wgs_X,wgs_Y,freerate
1,40.000000000000000,特来电西部国际家具材料城充电站,218.000000000000000,,00:00-24:00,1.000000000000000,1.000000000000000,104.006523000000001,30.504864999999999,1.000000000000000,成都市,,4.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,四川省,1.000000000000000,103.999961325765995,30.499015976093542,103.997661853043070,30.501658063169366,0.250000000000000
2,42.000000000000000,特来电城南优品道二期充电站,218.000000000000000,,00:00-24:00,1.000000000000000,1.000000000000000,103.919700000000006,30.603701999999998,1.000000000000000,成都市,,4.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,四川省,1.000000000000000,103.913288338514093,30.597410490058579,103.911211349761771,30.600203102582757,0.166666666666667
3,44.000000000000000,特来电双流大成郡充电站,218.000000000000000,,00:00-24:00,1.000000000000000,1.000000000000000,103.985174999999998,30.570212000000001,1.000000000000000,成都市,,4.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,四川省,1.000000000000000,103.978601841211443,30.564528568818560,103.976376630753947,30.567213324118494,0.297297297297297
4,46.000000000000000,特来电公兴荷韵佳苑充电站,218.000000000000000,,00:00-24:00,1.000000000000000,1.000000000000000,104.001744000000002,30.485482000000001,1.000000000000000,成都市,,4.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,四川省,1.000000000000000,103.995180694810500,30.479699923345262,103.992899641751151,30.482361832350989,0.000000000000000
5,48.000000000000000,成都双流瞿上酒店充电站,218.000000000000000,,00:00-24:00,1.000000000000000,1.000000000000000,103.893503999999993,30.578825999999999,1.000000000000000,成都市,,4.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,四川省,2.000000000000000,103.887008647788150,30.572880274713647,103.884935202595415,30.575680300941407,0.900000000000000
6,50.000000000000000,特来电双流人社局公共充电站,218.000000000000000,,00:00-24:00,1.000000000000000,1.000000000000000,103.901796000000004,30.585149999999999,1.000000000000000,成都市,,4.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,四川省,2.000000000000000,103.895338139923822,30.579069684775295,103.893267331719613,30.581871207085545,0.250000000000000
7,52.000000000000000,四川检察官培训基地充电站,218.000000000000000,,00:00-24:00,1.000000000000000,1.000000000000000,104.019079000000005,30.584928000000001,1.000000000000000,成都市,,4.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,四川省,1.000000000000000,104.012608479475361,30.578891027456976,104.010259218039167,30.581469049062132,1.000000000000000
8,54.000000000000000,成都协和卫生服务中心充电站,218.000000000000000,,09:00-17:00,1.000000000000000,1.000000000000000,104.031133999999994,30.503750000000000,1.000000000000000,成都市,,4.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,四川省,1.000000000000000,104.024682065843066,30.497529091064582,104.022293901529423,30.500098626653280,1.000000000000000
9,56.000000000000000,成都长顺家园充电站,218.000000000000000,,00:00-24:00,1.000000000000000,1.000000000000000,104.030765000000002,30.507007999999999,1.000000000000000,成都市,,4.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,四川省,1.000000000000000,104.024310060988697,30.500790969775984,104.021923019791430,30.503360611954658,0.750000000000000
10,58.000000000000000,成都凯斯顿黄龙酒店充电站,218.000000000000000,,00:00-24:00,1.000000000000000,1.000000000000000,103.975503000000003,30.324684999999999,1.000000000000000,成都市,,4.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,四川省,1.000000000000000,103.968942637763618,30.318951258675970,103.966760126436398,30.321719107334328,0.000000000000000
11,60.000000000000000,特来电白家康源冻库充电站,218.000000000000000,,00:00-24:00,1.000000000000000,1.000000000000000,104.022390999999999,30.563039000000000,1.000000000000000,成都市,,4.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,四川省,1.000000000000000,104.015933767214619,30.556948655453162,104.013573525395643,30.559524618605625,0.769230769230769
12,62.000000000000000,成都双流紫东阁广场充电站,218.000000000000000,,00:00-24:00,1.000000000000000,1.000000000000000,103.936054999999996,30.582733000000001,1.000000000000000,成都市,,4.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,四川省,2.000000000000000,103.929653494180116,30.576464721928808,103.927557924659922,30.579250674166161,1.000000000000000
13,64.000000000000000,特来电空港国际快件中心充电站,218.000000000000000,,00:00-24:00,1.000000000000000,1.000000000000000,103.970562000000001,30.557627000000000,1.000000000000000,成都市,,4.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,四川省,1.000000000000000,103.964011423369300,30.551839672641712,103.961834659433165,30.554568092246576,0.555555555555556
14,66.000000000000000,特来电元瑞家居商城充电站,218.000000000000000,,00:00-24:00,1.000000000000000,1.000000000000000,103.917760999999999,30.637236999999999,1.000000000000000,成都市,,4.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,四川省,1.000000000000000,103.911324296339785,30.630951691833744,103.909247330178175,30.633731908352459,0.500000000000000
15,68.000000000000000,成都海桐三期充电站,1.000000000000000,,00:00-24:00,1.000000000000000,1.000000000000000,104.137878999999998,30.611892000000001,1.000000000000000,成都市,,4.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,四川省,2.000000000000000,104.131379797629407,30.605867750978682,104.128858190428161,30.608309272412672,0.000000000000000
