source,target,weight
0,140,0.75
0,222,0.30000000000000004
0,132,0.0
0,777,0.09375
0,470,0.046875
0,3,0.75
0,8,0.1875
0,7,0.0
0,478,0.0
0,479,0.140625
140,3,1.0
140,130,0.25
140,132,0.0
140,222,0.4
140,470,0.0625
140,777,0.125
140,7,0.0
140,8,0.25
140,478,0.0
140,787,0.19999999999999996
222,3,0.4
222,130,0.1
222,132,0.0
222,470,0.025
222,777,0.05
222,571,0.4
222,469,0.4
132,777,0.0
132,478,0.0
132,479,0.0
132,470,0.0
132,919,0.0
132,571,0.0
132,133,0.0
132,580,0.0
777,3,0.125
777,127,0.07142857142857137
777,324,0.10416666666666663
777,338,0.0
777,340,0.0
777,470,0.0078125
777,478,0.0
777,479,0.0234375
777,571,0.125
777,580,0.046875
777,919,0.014705882352941124
470,3,0.0625
470,127,0.035714285714285685
470,324,0.052083333333333315
470,338,0.0
470,339,0.0
470,340,0.0
470,571,0.0625
470,478,0.0
470,479,0.01171875
470,580,0.0234375
470,618,0.0234375
3,130,0.25
3,787,0.19999999999999996
3,983,0.0
3,173,0.5
3,759,0.29166666666666696
3,762,0.5
8,7,0.0
8,1113,0.125
8,705,0.2375
8,880,0.1153846153846155
8,118,0.1704545454545455
8,851,0.2125
8,787,0.04999999999999999
8,137,0.0
8,138,0.0625
7,1113,0.0
7,705,0.0
7,787,0.0
7,880,0.0
7,118,0.0
7,310,0.0
7,851,0.0
7,130,0.0
7,137,0.0
7,138,0.0
478,133,0.0
478,479,0.0
478,919,0.0
478,741,0.0
478,726,0.0
478,621,0.0
478,131,0.0
478,571,0.0
478,580,0.0
478,451,0.0
479,133,0.1875
479,919,0.022058823529411686
479,726,0.0675
479,741,0.09999999999999994
479,621,0.11249999999999999
479,131,0.020833333333333322
479,451,0.08333333333333325
479,571,0.1875
479,543,0.140625
479,580,0.0703125
1,128,0.833333333333333
1,124,0.7291666666666664
1,700,0.7142857142857139
1,855,0.027777777777777485
1,935,0.48076923076923067
1,740,0.833333333333333
1,908,0.833333333333333
1,990,0.4999999999999998
1,1120,0.0
1,829,0.708333333333333
1,374,0.833333333333333
1,5,0.6249999999999998
1,11,0.0
128,5,0.75
128,124,0.875
128,855,0.03333333333333299
128,700,0.857142857142857
128,935,0.576923076923077
128,740,1.0
128,908,1.0
128,990,0.6
128,1120,0.0
128,829,0.85
128,374,1.0
124,740,0.875
124,855,0.02916666666666637
124,990,0.525
124,700,0.7499999999999999
124,935,0.5048076923076924
124,908,0.875
124,520,0.17499999999999996
124,1120,0.0
124,275,0.875
700,11,0.0
700,374,0.857142857142857
700,935,0.49450549450549447
700,1120,0.0
700,829,0.7285714285714284
700,908,0.857142857142857
700,740,0.857142857142857
700,1063,0.6263736263736265
700,855,0.028571428571428276
700,1108,0.0
855,4,0.0033333333333332984
855,5,0.024999999999999745
855,286,0.0
855,1137,0.0
855,908,0.03333333333333299
855,374,0.03333333333333299
855,1120,0.0
935,11,0.0
935,374,0.576923076923077
935,740,0.576923076923077
935,829,0.4903846153846154
935,908,0.576923076923077
935,1120,0.0
935,1063,0.4215976331360949
935,1108,0.0
740,13,0.5
740,275,1.0
740,520,0.19999999999999996
740,559,1.0
740,642,0.0
740,990,0.6
740,841,1.0
740,842,1.0
908,5,0.75
908,11,0.0
908,135,0.0
908,374,1.0
908,829,0.85
908,1120,0.0
908,1137,0.0
908,1063,0.7307692307692311
908,139,0.125
990,13,0.3
990,275,0.6
990,520,0.11999999999999997
990,559,0.6
990,642,0.0
990,695,0.6
990,841,0.6
990,842,0.6
1120,11,0.0
1120,135,0.0
1120,139,0.0
1120,374,0.0
1120,829,0.0
1120,1063,0.0
1120,1137,0.0
829,11,0.0
829,135,0.0
829,139,0.10625
829,374,0.85
829,1063,0.6211538461538464
829,1137,0.0
374,4,0.09999999999999998
374,5,0.75
374,11,0.0
374,129,0.0
374,135,0.0
374,139,0.125
374,286,0.0
374,1137,0.0
374,718,1.0
374,492,1.0
374,923,0.8
374,959,0.75
374,1028,0.38749999999999996
2,1048,0.4875896304467735
2,765,0.35135135135135154
2,1070,0.6525096525096532
2,708,0.7027027027027031
2,448,0.35135135135135154
2,282,0.0
2,467,0.03903903903903939
2,468,0.35135135135135154
2,177,0.7027027027027031
2,927,0.07027027027027029
2,627,0.07319819819819845
2,688,0.7027027027027031
2,125,0.7027027027027031
2,174,0.35135135135135154
2,629,0.5799002886381531
2,12,0.31231231231231216
2,123,0.28628628628628616
1048,125,0.693877551020408
1048,174,0.346938775510204
1048,177,0.693877551020408
1048,282,0.0
1048,301,0.11564625850340154
1048,448,0.346938775510204
1048,467,0.03854875283446744
1048,468,0.346938775510204
1048,484,0.346938775510204
1048,627,0.07227891156462604
1048,688,0.693877551020408
1048,708,0.693877551020408
1048,765,0.346938775510204
1048,864,0.346938775510204
1048,927,0.06938775510204079
1048,1070,0.6443148688046649
1048,1162,0.5030612244897958
765,123,0.2037037037037035
765,125,0.5
765,174,0.25
765,177,0.5
765,282,0.0
765,448,0.25
765,467,0.027777777777778012
765,468,0.25
765,627,0.05208333333333348
765,629,0.412621359223301
765,688,0.5
765,708,0.5
765,1070,0.4642857142857145
765,927,0.04999999999999999
765,12,0.222222222222222
1070,12,0.41269841269841245
1070,123,0.3783068783068781
1070,125,0.928571428571429
1070,174,0.4642857142857145
1070,177,0.928571428571429
1070,282,0.0
1070,448,0.4642857142857145
1070,467,0.05158730158730205
1070,468,0.4642857142857145
1070,627,0.0967261904761908
1070,629,0.7662968099861308
1070,687,0.914502164502165
1070,688,0.928571428571429
1070,708,0.928571428571429
1070,927,0.09285714285714289
708,123,0.407407407407407
708,125,1.0
708,174,0.5
708,177,1.0
708,282,0.0
708,448,0.5
708,467,0.055555555555556024
708,468,0.5
708,629,0.825242718446602
708,687,0.984848484848485
708,688,1.0
708,927,0.09999999999999998
708,627,0.10416666666666696
708,12,0.444444444444444
448,12,0.222222222222222
448,177,0.5
448,282,0.0
448,394,0.5
448,467,0.027777777777778012
448,627,0.05208333333333348
448,468,0.25
448,927,0.04999999999999999
448,739,0.5
448,1162,0.3625
448,686,0.3
448,617,0.0625
448,688,0.5
282,12,0.0
282,123,0.0
282,125,0.0
282,174,0.0
282,177,0.0
282,927,0.0
282,468,0.0
282,688,0.0
282,629,0.0
282,467,0.0
282,459,0.0
282,627,0.0
282,617,0.0
282,687,0.0
467,12,0.02469135802469154
467,175,0.005555555555555601
467,394,0.055555555555556024
467,459,0.04861111111111152
467,627,0.005787037037037103
467,468,0.027777777777778012
467,1162,0.04027777777777811
467,927,0.005555555555555601
467,739,0.055555555555556024
467,686,0.03333333333333361
467,617,0.006944444444444503
468,12,0.222222222222222
468,125,0.5
468,175,0.04999999999999999
468,191,0.4
468,459,0.4375
468,927,0.04999999999999999
468,627,0.05208333333333348
468,617,0.0625
468,1162,0.3625
468,686,0.3
468,739,0.5
468,629,0.412621359223301
468,688,0.5
177,123,0.407407407407407
177,125,1.0
177,174,0.5
177,688,1.0
177,629,0.825242718446602
177,827,0.050000000000000044
177,927,0.09999999999999998
927,12,0.04444444444444439
927,125,0.09999999999999998
927,174,0.04999999999999999
927,175,0.009999999999999995
927,191,0.07999999999999999
927,459,0.08749999999999998
927,617,0.012499999999999997
927,627,0.010416666666666694
927,629,0.08252427184466019
927,686,0.059999999999999984
927,687,0.09848484848484848
927,688,0.09999999999999998
927,1162,0.07249999999999998
627,12,0.04629629629629638
627,214,0.08463541666666691
627,394,0.10416666666666696
627,402,0.06944444444444467
627,426,0.03472222222222229
627,617,0.01302083333333337
627,739,0.10416666666666696
627,1162,0.07552083333333355
627,686,0.06250000000000018
627,726,0.0375000000000001
688,123,0.407407407407407
688,125,1.0
688,174,0.5
688,629,0.825242718446602
688,687,0.984848484848485
688,12,0.444444444444444
125,123,0.407407407407407
125,174,0.5
125,629,0.825242718446602
125,687,0.984848484848485
125,12,0.444444444444444
174,123,0.2037037037037035
174,629,0.412621359223301
174,687,0.4924242424242425
174,176,0.5
174,1063,0.36538461538461553
629,12,0.3667745415318227
629,123,0.3362099964041709
629,687,0.8127390408943809
12,459,0.3888888888888885
12,617,0.0555555555555555
12,175,0.04444444444444439
12,191,0.3555555555555552
12,686,0.2666666666666664
12,1162,0.32222222222222185
12,687,0.43771043771043733
12,131,0.04938271604938264
12,451,0.19753086419753044
12,543,0.333333333333333
130,983,0.0
130,787,0.04999999999999999
130,1113,0.125
130,310,0.04166666666666674
130,608,0.25
787,310,0.03333333333333339
787,705,0.18999999999999995
787,1113,0.09999999999999998
787,983,0.0
983,310,0.0
983,608,0.0
983,1113,0.0
983,1111,0.0
4,286,0.0
4,5,0.07499999999999998
4,1137,0.0
4,718,0.09999999999999998
4,619,0.062499999999999986
