source,target,weight
40.0,358.0,0.75
40.0,548.0,0.30000000000000004
40.0,342.0,0.0
40.0,2051.0,0.09375
40.0,1104.0,0.046875
40.0,46.0,0.75
40.0,56.0,0.1875
40.0,54.0,0.0
40.0,1126.0,0.0
40.0,1128.0,0.140625
40.0,2539.0,0.08823529411764675
40.0,338.0,0.1875
40.0,2071.0,0.14999999999999997
40.0,1449.0,0.75
40.0,344.0,0.75
40.0,2983.0,0.375
40.0,354.0,0.1875
40.0,2443.0,0.3461538461538465
40.0,2701.0,0.0
358.0,46.0,1.0
358.0,54.0,0.0
358.0,56.0,0.25
358.0,332.0,0.571428571428571
358.0,338.0,0.25
358.0,342.0,0.0
358.0,548.0,0.4
358.0,1104.0,0.0625
358.0,2051.0,0.125
358.0,1126.0,0.0
358.0,1128.0,0.1875
358.0,1449.0,1.0
358.0,2539.0,0.117647058823529
358.0,2071.0,0.19999999999999996
358.0,1102.0,1.0
358.0,2983.0,0.5
358.0,1473.0,0.375
358.0,344.0,1.0
358.0,794.0,0.833333333333333
358.0,822.0,0.0
358.0,824.0,0.0
358.0,826.0,0.0
358.0,2701.0,0.0
548.0,46.0,0.4
548.0,54.0,0.0
548.0,56.0,0.1
548.0,332.0,0.2285714285714284
548.0,338.0,0.1
548.0,342.0,0.0
548.0,428.0,0.2
548.0,1104.0,0.025
548.0,2051.0,0.05
548.0,1449.0,0.4
548.0,1102.0,0.4
548.0,1126.0,0.0
548.0,1128.0,0.07500000000000001
548.0,2071.0,0.07999999999999999
548.0,2539.0,0.0470588235294116
548.0,826.0,0.0
548.0,794.0,0.33333333333333326
548.0,822.0,0.0
548.0,824.0,0.0
548.0,1608.0,0.15000000000000002
548.0,2005.0,0.1166666666666668
548.0,2011.0,0.2
548.0,2701.0,0.0
342.0,46.0,0.0
342.0,332.0,0.0
342.0,2051.0,0.0
342.0,1126.0,0.0
342.0,1128.0,0.0
342.0,1104.0,0.0
342.0,2539.0,0.0
342.0,1449.0,0.0
342.0,344.0,0.0
342.0,1473.0,0.0
342.0,1933.0,0.0
342.0,1887.0,0.0
342.0,1614.0,0.0
342.0,340.0,0.0
342.0,1050.0,0.0
342.0,1362.0,0.0
342.0,2143.0,0.0
342.0,56.0,0.0
342.0,794.0,0.0
342.0,822.0,0.0
342.0,824.0,0.0
342.0,826.0,0.0
342.0,1608.0,0.0
2051.0,46.0,0.125
2051.0,332.0,0.07142857142857137
2051.0,338.0,0.03125
2051.0,794.0,0.10416666666666663
2051.0,822.0,0.0
2051.0,824.0,0.0
2051.0,826.0,0.0
2051.0,992.0,0.125
2051.0,1102.0,0.125
2051.0,1104.0,0.0078125
2051.0,1126.0,0.0
2051.0,1128.0,0.0234375
2051.0,1449.0,0.125
2051.0,1473.0,0.046875
2051.0,1608.0,0.046875
2051.0,2539.0,0.014705882352941124
2051.0,344.0,0.125
2051.0,1933.0,0.06666666666666662
2051.0,1887.0,0.045
1104.0,46.0,0.0625
1104.0,332.0,0.035714285714285685
1104.0,338.0,0.015625
1104.0,428.0,0.03125
1104.0,794.0,0.052083333333333315
1104.0,822.0,0.0
1104.0,824.0,0.0
1104.0,826.0,0.0
1104.0,992.0,0.0625
1104.0,1102.0,0.0625
1104.0,1449.0,0.0625
1104.0,1126.0,0.0
1104.0,1128.0,0.01171875
1104.0,1473.0,0.0234375
1104.0,2539.0,0.007352941176470562
1104.0,1608.0,0.0234375
1104.0,344.0,0.0625
1104.0,2011.0,0.03125
46.0,338.0,0.25
46.0,2071.0,0.19999999999999996
46.0,2701.0,0.0
46.0,1102.0,1.0
46.0,54.0,0.0
46.0,2011.0,0.5
46.0,56.0,0.25
46.0,2983.0,0.5
46.0,428.0,0.5
46.0,1449.0,1.0
46.0,332.0,0.571428571428571
46.0,822.0,0.0
46.0,826.0,0.0
46.0,2005.0,0.29166666666666696
56.0,54.0,0.0
56.0,2983.0,0.125
56.0,1813.0,0.2375
56.0,2443.0,0.1153846153846155
56.0,312.0,0.1704545454545455
56.0,2349.0,0.2125
56.0,2071.0,0.04999999999999999
56.0,352.0,0.0
56.0,354.0,0.0625
56.0,766.0,0.04166666666666674
56.0,3077.0,0.0
56.0,2893.0,0.20833333333333326
56.0,1911.0,0.25
56.0,338.0,0.0625
56.0,2701.0,0.0
54.0,2983.0,0.0
54.0,1813.0,0.0
54.0,2071.0,0.0
54.0,2443.0,0.0
54.0,312.0,0.0
54.0,766.0,0.0
54.0,2349.0,0.0
54.0,352.0,0.0
54.0,354.0,0.0
54.0,338.0,0.0
54.0,3077.0,0.0
54.0,1911.0,0.0
54.0,2893.0,0.0
54.0,2701.0,0.0
1126.0,332.0,0.0
1126.0,340.0,0.0
1126.0,344.0,0.0
1126.0,794.0,0.0
1126.0,826.0,0.0
1126.0,1050.0,0.0
1126.0,1128.0,0.0
1126.0,2539.0,0.0
1126.0,1933.0,0.0
1126.0,1887.0,0.0
1126.0,1614.0,0.0
1126.0,1449.0,0.0
1126.0,1473.0,0.0
1126.0,1362.0,0.0
1126.0,2143.0,0.0
1126.0,1763.0,0.0
1126.0,3099.0,0.0
1126.0,1929.0,0.0
1126.0,950.0,0.0
1128.0,340.0,0.020833333333333322
1128.0,344.0,0.1875
1128.0,950.0,0.12500000000000006
1128.0,1050.0,0.08333333333333325
1128.0,2539.0,0.022058823529411686
1128.0,1887.0,0.0675
1128.0,1933.0,0.09999999999999994
